Target,Group,Ring,Channel
thermal,1,3,1
thermal,1,135,1
active,2,5,1
active,2,6,1
active,2,7,1
active,2,8,1
active,3,9,2
active,3,10,2
active,3,11,2
active,3,12,2
active,4,13,1
active,4,14,1
active,4,15,1
active,4,16,1
active,5,17,2
active,5,18,2
active,5,19,2
active,5,20,2
active,6,21,1
active,6,22,1
active,6,23,1
active,6,24,1
active,7,25,2
active,7,26,2
active,7,27,2
active,7,28,2
active,8,29,1
active,8,30,1
active,8,31,1
active,8,32,1
active,9,33,2
active,9,34,2
active,9,35,2
active,9,36,2
active,10,37,1
active,10,38,1
active,10,39,1
active,10,40,1
active,11,41,2
active,11,42,2
active,11,43,2
active,11,44,2
active,12,45,1
active,12,46,1
active,12,47,1
active,12,48,1
active,13,49,2
active,13,50,2
active,13,51,2
active,13,52,2
active,14,53,1
active,14,54,1
active,14,55,1
active,14,56,1
active,15,57,2
active,15,58,2
active,15,59,2
active,15,60,2
active,16,61,1
active,16,62,1
active,16,63,1
active,16,64,1
active,17,65,2
active,17,66,2
active,17,67,2
active,17,68,2
active,18,69,1
active,18,70,1
active,18,71,1
active,18,72,1
active,19,73,2
active,19,74,2
active,19,75,2
active,19,76,2
active,20,77,1
active,20,78,1
active,20,79,1
active,20,80,1
active,21,81,2
active,21,82,2
active,21,83,2
active,21,84,2
active,22,85,1
active,22,86,1
active,22,87,1
active,22,88,1
active,23,89,2
active,23,90,2
active,23,91,2
active,23,92,2
active,24,93,1
active,24,94,1
active,24,95,1
active,24,96,1
active,25,97,2
active,25,98,2
active,25,99,2
active,25,100,2
active,26,101,1
active,26,102,1
active,26,103,1
active,26,104,1
active,27,105,2
active,27,106,2
active,27,107,2
active,27,108,2
active,28,109,1
active,28,110,1
active,28,111,1
active,28,112,1
active,29,113,2
active,29,114,2
active,29,115,2
active,29,116,2
active,30,117,1
active,30,118,1
active,30,119,1
active,30,120,1
active,31,121,2
active,31,122,2
active,31,123,2
active,31,124,2
active,32,125,1
active,32,126,1
active,32,127,1
active,32,128,1
active,33,129,2
active,33,130,2
active,33,131,2
active,33,132,2
thermal,34,4,2
thermal,34,136,2
